1.94, 1.41, -9.62, -0.38, -0.20, 2.45
1.83, 1.45, -9.61, -0.41, -0.23, 2.49
1.74, 1.35, -9.54, -0.43, -0.21, 2.51
1.68, 1.41, -9.61, -0.49, -0.21, 2.50
1.73, 1.54, -9.76, -0.46, -0.17, 2.50
1.80, 1.62, -9.82, -0.46, -0.23, 2.50
1.70, 1.54, -9.78, -0.45, -0.27, 2.55
1.62, 1.37, -9.63, -0.51, -0.27, 2.60
1.43, 1.43, -9.40, -0.57, -0.23, 2.60
1.65, 1.68, -9.49, -0.59, -0.21, 2.56
1.84, 1.84, -9.59, -0.55, -0.23, 2.52
1.98, 1.82, -9.64, -0.52, -0.30, 2.49
1.89, 1.72, -9.58, -0.50, -0.34, 2.45
1.85, 1.76, -9.47, -0.52, -0.33, 2.38
1.84, 1.74, -9.37, -0.53, -0.36, 2.30
1.66, 1.89, -9.48, -0.51, -0.39, 2.23
1.69, 2.10, -9.59, -0.47, -0.34, 2.18
1.71, 2.07, -9.68, -0.42, -0.32, 2.13
1.69, 1.94, -9.59, -0.40, -0.30, 2.04
2.09, 1.84, -9.60, -0.39, -0.24, 1.98
2.25, 1.83, -9.41, -0.41, -0.25, 1.92
2.29, 1.84, -9.58, -0.41, -0.29, 1.85
2.37, 1.79, -9.53, -0.39, -0.29, 1.77
2.35, 1.81, -9.53, -0.39, -0.28, 1.67
2.49, 1.75, -9.59, -0.38, -0.28, 1.57
2.48, 1.85, -9.59, -0.40, -0.34, 1.46
2.38, 1.90, -9.57, -0.38, -0.33, 1.35
2.38, 1.83, -9.68, -0.34, -0.31, 1.26
2.23, 1.78, -9.74, -0.33, -0.34, 1.15
1.96, 1.76, -9.72, -0.32, -0.32, 1.04
1.66, 1.72, -9.56, -0.33, -0.25, 0.90
1.71, 1.77, -9.60, -0.30, -0.16, 0.76
1.61, 1.87, -9.58, -0.29, -0.14, 0.60
1.69, 1.99, -9.70, -0.23, -0.10, 0.45
1.57, 1.91, -9.66, -0.20, -0.08, 0.28
1.63, 1.88, -9.72, -0.18, -0.05, 0.10
1.64, 2.11, -9.66, -0.14, -0.04, -0.08
1.52, 2.20, -9.76, -0.08, -0.04, -0.25
1.47, 2.23, -9.72, -0.00, -0.01, -0.40
1.26, 2.12, -9.66, 0.04, 0.02, -0.55
1.30, 2.11, -9.67, 0.09, 0.08, -0.70
1.42, 2.01, -9.71, 0.12, 0.10, -0.85
1.56, 1.99, -9.55, 0.14, 0.07, -1.00
1.41, 2.08, -9.60, 0.16, 0.05, -1.19
