-0.17, -3.14, -9.68, 0.18, 0.20, -0.07
-0.10, -2.96, -9.68, 0.11, 0.08, -0.07
-0.19, -2.93, -9.78, 0.01, -0.04, -0.08
-0.28, -2.85, -9.78, -0.05, -0.02, -0.09
-0.23, -2.72, -9.83, -0.09, 0.12, -0.07
0.15, -2.71, -9.55, -0.15, 0.22, -0.07
0.37, -2.78, -9.62, -0.18, 0.07, -0.05
0.06, -2.97, -9.70, -0.27, -0.14, -0.07
-0.13, -2.96, -9.85, -0.34, -0.14, -0.06
-0.09, -2.88, -9.77, -0.42, 0.09, -0.07
0.30, -2.67, -9.75, -0.47, 0.23, -0.07
0.54, -2.43, -9.70, -0.51, 0.12, -0.07
0.66, -2.32, -9.67, -0.57, -0.07, -0.07
0.46, -2.31, -9.65, -0.61, -0.07, -0.06
0.62, -2.28, -9.69, -0.64, 0.05, -0.05
0.63, -2.21, -9.78, -0.70, 0.07, -0.03
0.75, -2.09, -9.72, -0.76, -0.04, -0.03
0.75, -1.89, -9.72, -0.81, -0.11, -0.02
0.59, -1.82, -9.78, -0.87, -0.10, -0.01
0.70, -1.72, -9.74, -0.92, -0.05, 0.00
0.68, -1.62, -9.74, -0.98, -0.06, 0.02
0.71, -1.58, -9.70, -1.05, -0.12, 0.04
0.52, -1.49, -9.69, -1.14, -0.18, 0.04
0.56, -1.47, -9.97, -1.25, -0.20, 0.06
0.39, -0.99, -9.84, -1.29, -0.19, 0.08
0.34, -1.01, -9.75, -1.41, -0.20, 0.09
0.22, -0.79, -9.71, -1.56, -0.23, 0.11
-0.08, -0.23, -9.29, -1.70, -0.26, 0.11
-0.19, 0.28, -9.22, -1.80, -0.27, 0.11
-0.26, 0.81, -9.06, -1.84, -0.24, 0.14
-0.37, 1.29, -8.80, -1.91, -0.15, 0.12
-0.24, 1.91, -8.65, -1.93, -0.14, 0.13
-0.16, 2.29, -8.63, -1.94, -0.20, 0.11
-0.23, 2.77, -8.60, -1.90, -0.25, 0.12
-0.31, 3.08, -8.64, -1.88, -0.21, 0.10
-0.21, 3.19, -8.53, -1.84, -0.20, 0.10
-0.23, 3.65, -8.30, -1.82, -0.27, 0.10
-0.28, 4.14, -8.25, -1.81, -0.36, 0.09
-0.43, 4.99, -8.32, -1.75, -0.39, 0.08
-0.53, 5.66, -8.34, -1.63, -0.39, 0.06
-0.70, 5.91, -8.45, -1.46, -0.34, 0.04
-0.57, 5.74, -8.43, -1.28, -0.26, 0.03
-0.43, 5.19, -8.21, -1.18, -0.21, 0.03
-0.37, 4.56, -8.24, -1.20, -0.25, 0.03
-0.44, 4.36, -7.96, -1.28, -0.39, 0.02
-0.71, 4.64, -7.91, -1.34, -0.47, 0.03
-0.72, 4.90, -7.81, -1.35, -0.36, 0.05
-0.75, 4.98, -7.86, -1.34, -0.23, 0.07
-0.62, 5.04, -7.51, -1.35, -0.24, 0.07
-0.68, 5.51, -7.41, -1.36, -0.30, 0.04
-0.88, 6.32, -7.59, -1.33, -0.32, 0.04
-1.20, 7.09, -7.42, -1.24, -0.26, 0.04
-1.26, 7.65, -7.31, -1.10, -0.15, 0.03
-1.23, 7.90, -7.22, -0.97, -0.06, 0.04
-0.98, 7.64, -6.96, -0.92, 0.02, 0.07
-0.70, 7.73, -6.69, -0.94, -0.00, 0.09
-0.71, 7.89, -6.39, -0.96, -0.09, 0.09
-0.66, 8.21, -6.29, -0.94, -0.13, 0.09
-0.66, 8.43, -6.10, -0.91, -0.11, 0.09
-0.67, 8.74, -5.98, -0.86, -0.16, 0.09
-0.85, 9.03, -5.98, -0.82, -0.29, 0.07
-1.22, 9.25, -5.91, -0.77, -0.34, 0.06
-1.60, 9.46, -5.84, -0.68, -0.27, 0.06
-1.75, 9.63, -5.82, -0.58, -0.20, 0.04
-1.83, 9.72, -5.86, -0.48, -0.15, 0.01
-1.88, 9.63, -5.68, -0.38, -0.12, -0.02
-1.90, 9.53, -5.77, -0.31, -0.07, -0.04
-1.79, 9.47, -5.68, -0.25, -0.04, -0.06
-1.66, 9.54, -5.84, -0.18, -0.02, -0.08
-1.76, 9.62, -5.88, -0.11, 0.01, -0.10
-1.72, 9.80, -5.89, -0.01, 0.04, -0.10
-1.66, 9.84, -5.97, 0.11, 0.07, -0.11
-1.44, 9.59, -5.94, 0.22, 0.09, -0.10
-1.24, 9.33, -6.09, 0.31, 0.12, -0.10
-1.14, 9.14, -6.12, 0.39, 0.11, -0.08
-1.11, 8.80, -6.15, 0.44, 0.10, -0.06
-1.08, 8.62, -6.33, 0.49, 0.13, -0.03
-1.11, 8.75, -6.34, 0.54, 0.13, 0.01
-0.96, 8.77, -6.44, 0.62, 0.13, 0.03
-0.98, 8.71, -6.43, 0.71, 0.14, 0.05
-0.88, 8.44, -6.36, 0.80, 0.17, 0.05
-0.77, 8.16, -6.47, 0.86, 0.18, 0.06
-0.66, 7.78, -6.50, 0.92, 0.17, 0.08
-0.55, 7.55, -6.67, 0.94, 0.13, 0.09
-0.56, 7.34, -6.79, 0.96, 0.10, 0.11
-0.63, 7.11, -6.89, 0.98, 0.09, 0.11
-0.69, 6.98, -7.03, 0.99, 0.07, 0.11
-0.81, 6.91, -7.17, 1.01, 0.07, 0.11
-0.81, 6.87, -7.32, 1.05, 0.10, 0.10
