6.42, 3.78, -7.99, 0.06, -0.66, 0.04
6.40, 3.67, -8.06, 0.09, -0.75, 0.01
6.23, 3.66, -7.93, 0.11, -0.86, -0.01
6.06, 3.71, -8.15, 0.15, -0.91, -0.03
5.84, 3.49, -8.17, 0.17, -0.94, -0.04
5.86, 3.38, -8.26, 0.17, -0.98, -0.04
5.83, 3.40, -8.29, 0.17, -1.03, -0.03
5.70, 3.51, -8.38, 0.20, -1.14, -0.03
5.49, 3.33, -8.37, 0.22, -1.29, -0.05
5.25, 3.15, -8.33, 0.23, -1.36, -0.07
5.09, 3.08, -8.48, 0.22, -1.41, -0.07
4.78, 3.14, -8.53, 0.22, -1.49, -0.07
4.45, 3.17, -8.79, 0.25, -1.62, -0.08
4.05, 3.06, -8.71, 0.28, -1.74, -0.10
3.67, 2.85, -8.62, 0.31, -1.75, -0.10
3.40, 2.71, -8.65, 0.30, -1.74, -0.09
3.06, 2.70, -8.75, 0.29, -1.79, -0.07
2.74, 2.58, -8.85, 0.30, -1.90, -0.09
2.40, 2.37, -8.80, 0.28, -2.01, -0.10
2.06, 2.24, -8.80, 0.24, -2.03, -0.12
1.68, 2.33, -8.69, 0.20, -2.03, -0.12
1.34, 2.49, -8.78, 0.19, -2.07, -0.13
0.72, 2.68, -8.79, 0.22, -2.21, -0.16
0.13, 2.72, -8.66, 0.26, -2.31, -0.17
-0.51, 2.51, -8.75, 0.29, -2.28, -0.16
-0.85, 2.34, -8.58, 0.28, -2.17, -0.12
-1.19, 2.30, -8.69, 0.26, -2.07, -0.09
-1.63, 2.34, -8.64, 0.26, -2.09, -0.08
-2.04, 2.49, -8.65, 0.29, -2.12, -0.08
-2.51, 2.49, -8.67, 0.32, -2.09, -0.06
-2.89, 2.54, -8.61, 0.36, -1.98, -0.03
-3.04, 2.42, -8.49, 0.39, -1.86, 0.03
-3.22, 2.16, -8.41, 0.40, -1.81, 0.08
-3.47, 2.01, -8.47, 0.37, -1.91, 0.10
-4.29, 2.01, -8.46, 0.34, -2.05, 0.10
-5.06, 2.11, -8.28, 0.31, -2.06, 0.10
-5.86, 2.13, -8.18, 0.31, -1.85, 0.10
-6.13, 1.85, -8.22, 0.30, -1.49, 0.11
